"","Origin","Destination","auto","transit","bike","walk","others","Total_flows","X_Org","Y_Org","X_Dest","Y_Dest","status","in-vehicleTime","waitingTime","transfers","accessTime"
"1",1128.04,1128.15,50,0,0,0,0,50,-111.862777239,40.5515369657,-111.796918933,40.5295233107,"OK",0,0,0,104.85
"2",1128.04,1130.14,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.948468112,40.5308388373,"OK",53.12,12.23,1,43.5
"3",1128.04,1130.12,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.920766871,40.5589868638,"OK",57.05,12.23,1,17.57
"4",1128.04,1130.2,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.99405361,40.5515488547,"OK",56.93,49.43,3,21.67
"5",1128.04,1131.05,0,0,0,0,0,0,-111.862777239,40.5515369657,-112.117993088,40.525950728,"OK",56.48,95.2,3,188.97
"6",1128.04,1130.17,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.948248678,40.5113921689,"OK",65.92,89.2,3,16.45
"7",1128.04,1128.16,40,0,0,0,0,40,-111.862777239,40.5515369657,-111.869461932,40.5058173534,"OK",11.37,0.03,0,29.63
"8",1128.04,1128.23,100,0,0,0,0,100,-111.862777239,40.5515369657,-111.880345644,40.5350877531,"OK",16.6,16.98,1,16.15
"9",1128.04,1128.19,50,0,0,0,0,50,-111.862777239,40.5515369657,-111.880069626,40.5140635727,"OK",12.7,0.03,0,26.25
"10",1128.04,1130.11,50,0,0,0,0,50,-111.862777239,40.5515369657,-111.94344956,40.5508508861,"OK",55.67,12.23,1,23.32
"11",1128.04,1128.18,20,0,0,0,0,20,-111.862777239,40.5515369657,-111.901426578,40.4952724011,"OK",35.6,11.27,1,61.57
"12",1128.04,1128.22,80,20,0,0,0,100,-111.862777239,40.5515369657,-111.881538572,40.5515553247,"OK",0,0,0,20.28
"13",1128.04,1151.06,8,0,0,0,0,8,-111.862777239,40.5515369657,-112.004628549,40.4599044577,"OK",74.22,89.2,3,69.9
"14",1128.04,1128.17,320,0,0,0,10,330,-111.862777239,40.5515369657,-111.905268914,40.5305236091,"OK",29.4,11.27,1,23
"15",1128.04,1146,30,0,0,0,0,30,-111.862777239,40.5515369657,-111.927991851,40.5189579801,"OK",35.6,11.27,1,43.88
"16",1128.04,1128.2,70,0,0,0,0,70,-111.862777239,40.5515369657,-111.879865905,40.4794072388,"OK",11.37,0.03,0,88.52
"17",1128.04,1130.16,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.975449825,40.5114696296,"OK",66.58,49.43,3,10.17
"18",1128.04,1128.21,20,0,0,0,0,20,-111.862777239,40.5515369657,-111.841314748,40.4979086579,"OK",19.6,16.98,1,61.98
"19",1128.04,1130.19,40,0,0,0,0,40,-111.862777239,40.5515369657,-111.969767252,40.549554591,"OK",61.8,49.43,3,26.72
"20",1128.04,1152.09,20,0,0,0,0,20,-111.862777239,40.5515369657,-112.034044038,40.5615932734,"OK",46.6,39.77,2,24.85
"21",1128.04,1128.1,0,0,0,0,0,0,-111.862777239,40.5515369657,-111.939987654,40.4779393131,"OK",35.6,11.27,1,95.22
"22",1128.04,1128.04,80,0,0,0,195,275,-111.862777239,40.5515369657,-111.862777239,40.5515369657,"409",NA,NA,NA,NA
"23",1128.04,1130.13,20,0,0,0,0,20,-111.862777239,40.5515369657,-111.975436902,40.5295980976,"OK",64.58,49.43,3,19.9
"24",1128.04,1131.07,0,0,0,0,0,0,-111.862777239,40.5515369657,-112.019569271,40.5162767243,"OK",81.42,89.2,3,11.63
"25",1128.04,1128.05,80,0,0,0,0,80,-111.862777239,40.5515369657,-111.861369104,40.5357819585,"OK",5.83,0.03,0,3.6
"26",1128.05,1130.19,20,0,0,0,0,20,-111.861369104,40.5357819585,-111.969767252,40.549554591,"OK",51.97,39.45,2,36.42
"27",1128.05,1130.17,30,0,0,0,0,30,-111.861369104,40.5357819585,-111.948248678,40.5113921689,"OK",64.07,49.43,3,21.08
"28",1128.05,1130.12,0,0,0,0,0,0,-111.861369104,40.5357819585,-111.920766871,40.5589868638,"OK",48.45,20.43,1,36.37
"29",1128.05,1128.1,20,0,0,0,0,20,-111.861369104,40.5357819585,-111.939987654,40.4779393131,"OK",65.02,49.43,3,63.18
"30",1128.05,1128.17,380,0,0,0,0,380,-111.861369104,40.5357819585,-111.905268914,40.5305236091,"OK",10.25,0.03,0,34.05
"31",1128.05,1128.15,100,0,0,10,0,110,-111.861369104,40.5357819585,-111.796918933,40.5295233107,"OK",0,0,0,92.53
"32",1128.05,1128.18,0,0,0,0,0,0,-111.861369104,40.5357819585,-111.901426578,40.4952724011,"OK",45.97,14.57,1,82.9
"33",1128.05,1146,0,0,0,0,0,0,-111.861369104,40.5357819585,-111.927991851,40.5189579801,"OK",10.25,0.03,0,59.03
"34",1128.05,1128.19,170,0,0,0,0,170,-111.861369104,40.5357819585,-111.880069626,40.5140635727,"OK",6.87,0.03,0,29.05
"35",1128.05,1130.13,50,0,0,0,0,50,-111.861369104,40.5357819585,-111.975436902,40.5295980976,"OK",48.07,39.45,2,37.23
"36",1128.05,1128.21,65,0,0,0,0,65,-111.861369104,40.5357819585,-111.841314748,40.4979086579,"OK",0,0,0,79.47
"37",1128.05,1128.04,80,0,0,0,0,80,-111.861369104,40.5357819585,-111.862777239,40.5515369657,"OK",0,0,0,23.87
"38",1128.05,1128.2,30,0,0,0,0,30,-111.861369104,40.5357819585,-111.879865905,40.4794072388,"OK",0,0,0,107.32
"39",1128.05,1152.09,50,0,0,0,0,50,-111.861369104,40.5357819585,-112.034044038,40.5615932734,"OK",38,18.02,1,43.6
"40",1128.05,1130.16,40,0,0,0,0,40,-111.861369104,40.5357819585,-111.975449825,40.5114696296,"OK",54,52.45,2,27.08
"41",1128.05,1151.06,0,0,0,0,0,0,-111.861369104,40.5357819585,-112.004628549,40.4599044577,"OK",72.37,49.43,3,74.53
"42",1128.05,1128.05,208,0,0,15,165,388,-111.861369104,40.5357819585,-111.861369104,40.5357819585,"409",NA,NA,NA,NA
"43",1128.05,1131.07,0,0,0,0,0,0,-111.861369104,40.5357819585,-112.019569271,40.5162767243,"OK",48.78,28.45,2,60.32
"44",1128.05,1128.22,80,0,0,0,0,80,-111.861369104,40.5357819585,-111.881538572,40.5515553247,"OK",18.25,0.03,0,14.22
"45",1128.05,1128.23,60,0,0,0,0,60,-111.861369104,40.5357819585,-111.880345644,40.5350877531,"OK",0,0,0,32.53
"46",1128.05,1130.11,0,0,0,0,0,0,-111.861369104,40.5357819585,-111.94344956,40.5508508861,"OK",47.07,20.43,1,42.12
"47",1128.05,1131.05,20,0,0,0,0,20,-111.861369104,40.5357819585,-112.117993088,40.525950728,"OK",47.88,28.45,2,207.72
"48",1128.05,1128.16,50,0,0,0,0,50,-111.861369104,40.5357819585,-111.869461932,40.5058173534,"OK",0,0,0,48.43
"49",1128.05,1130.14,40,0,0,0,0,40,-111.861369104,40.5357819585,-111.948468112,40.5308388373,"OK",44.52,20.43,1,62.3
"50",1128.05,1130.2,20,0,0,0,0,20,-111.861369104,40.5357819585,-111.99405361,40.5515488547,"OK",61.43,39.45,2,27.07
"51",1128.1,1130.11,70,0,0,0,0,70,-111.939987654,40.4779393131,-111.94344956,40.5508508861,"OK",49.73,50.52,2,79.35
"52",1128.1,1128.19,80,0,0,0,0,80,-111.939987654,40.4779393131,-111.880069626,40.5140635727,"OK",71.98,51.67,3,85.67
"53",1128.1,1128.18,20,0,0,0,0,20,-111.939987654,40.4779393131,-111.901426578,40.4952724011,"OK",0,0,0,99.73
"54",1128.1,1130.2,70,0,0,0,0,70,-111.939987654,40.4779393131,-111.99405361,40.5515488547,"OK",19.08,0.03,0,72.72
"55",1128.1,1128.05,20,0,0,0,0,20,-111.939987654,40.4779393131,-111.861369104,40.5357819585,"OK",73.48,44.13,3,62.98
"56",1128.1,1128.21,20,0,0,0,0,20,-111.939987654,40.4779393131,-111.841314748,40.4979086579,"OK",0,0,0,142.23
"57",1128.1,1146,40,0,0,15,0,55,-111.939987654,40.4779393131,-111.927991851,40.5189579801,"OK",0,0,0,77.8
"58",1128.1,1130.19,90,0,0,0,0,90,-111.939987654,40.4779393131,-111.969767252,40.549554591,"OK",53.83,16.9,1,70.88
"59",1128.1,1128.15,20,0,0,0,0,20,-111.939987654,40.4779393131,-111.796918933,40.5295233107,"OK",73.48,44.13,3,152.25
"60",1128.1,1128.04,0,0,0,0,0,0,-111.939987654,40.4779393131,-111.862777239,40.5515369657,"OK",67.65,44.13,3,60.18
"61",1128.1,1128.23,120,0,0,0,0,120,-111.939987654,40.4779393131,-111.880345644,40.5350877531,"OK",60.73,23.18,2,73
"62",1128.1,1128.2,0,0,0,0,0,0,-111.939987654,40.4779393131,-111.879865905,40.4794072388,"OK",0,0,0,106.32
"63",1128.1,1131.05,50,0,0,0,0,50,-111.939987654,40.4779393131,-112.117993088,40.525950728,"OK",30.62,25.03,1,242.18
"64",1128.1,1130.16,100,0,0,0,0,100,-111.939987654,40.4779393131,-111.975449825,40.5114696296,"OK",4.1,0.03,0,59.08
"65",1128.1,1128.16,80,0,0,0,0,80,-111.939987654,40.4779393131,-111.869461932,40.5058173534,"OK",0,0,0,124.42
"66",1128.1,1130.13,60,0,0,0,0,60,-111.939987654,40.4779393131,-111.975436902,40.5295980976,"OK",10.87,0.03,0,58.63
"67",1128.1,1128.1,240,0,0,30,399,669,-111.939987654,40.4779393131,-111.939987654,40.4779393131,"409",NA,NA,NA,NA
"68",1128.1,1128.17,390,0,0,0,0,390,-111.939987654,40.4779393131,-111.905268914,40.5305236091,"OK",0,0,0,112.2
"69",1128.1,1130.14,170,0,0,0,0,170,-111.939987654,40.4779393131,-111.948468112,40.5308388373,"OK",0,0,0,93.92
"70",1128.1,1152.09,20,0,0,0,0,20,-111.939987654,40.4779393131,-112.034044038,40.5615932734,"OK",29.73,12.22,1,81.35
"71",1128.1,1131.07,310,0,0,0,0,310,-111.939987654,40.4779393131,-112.019569271,40.5162767243,"OK",23.55,51.03,1,64.85
"72",1128.1,1130.12,50,0,0,0,0,50,-111.939987654,40.4779393131,-111.920766871,40.5589868638,"OK",51.48,50.52,2,73.88
"73",1128.1,1128.22,30,0,0,0,0,30,-111.939987654,40.4779393131,-111.881538572,40.5515553247,"OK",58.73,23.18,2,74.85
"74",1128.1,1151.06,50,0,0,0,0,50,-111.939987654,40.4779393131,-112.004628549,40.4599044577,"OK",0,0,0,146.5
"75",1128.1,1130.17,90,0,0,0,0,90,-111.939987654,40.4779393131,-111.948248678,40.5113921689,"OK",0,0,0,72.67
"76",1128.15,1128.05,100,0,0,10,0,110,-111.796918933,40.5295233107,-111.861369104,40.5357819585,"OK",0,0,0,92.57
"77",1128.15,1128.22,40,0,0,0,0,40,-111.796918933,40.5295233107,-111.881538572,40.5515553247,"OK",18.25,0.03,0,103.52
"78",1128.15,1131.07,0,0,0,0,0,0,-111.796918933,40.5295233107,-112.019569271,40.5162767243,"OK",79.57,49.43,3,105.57
"79",1128.15,1128.1,20,0,0,0,0,20,-111.796918933,40.5295233107,-111.939987654,40.4779393131,"OK",65.02,49.43,3,152.48
"80",1128.15,1131.05,0,0,0,0,0,0,-111.796918933,40.5295233107,-112.117993088,40.525950728,"OK",54.63,55.43,3,282.9
"81",1128.15,1130.11,0,0,0,0,0,0,-111.796918933,40.5295233107,-111.94344956,40.5508508861,"OK",76.32,12.23,1,114.98
"82",1128.15,1130.16,8,0,0,0,0,8,-111.796918933,40.5295233107,-111.975449825,40.5114696296,"OK",56,52.45,2,111.07
"83",1128.15,1128.2,0,0,0,0,0,0,-111.796918933,40.5295233107,-111.879865905,40.4794072388,"OK",0,0,0,164.45
"84",1128.15,1128.21,20,0,0,0,0,20,-111.796918933,40.5295233107,-111.841314748,40.4979086579,"OK",0,0,0,119.85
"85",1128.15,1152.09,20,0,0,0,0,20,-111.796918933,40.5295233107,-112.034044038,40.5615932734,"OK",40,18.02,1,127.58
"86",1128.15,1128.23,130,0,0,0,0,130,-111.796918933,40.5295233107,-111.880345644,40.5350877531,"OK",2,0.03,0,117
"87",1128.15,1151.06,0,0,0,0,0,0,-111.796918933,40.5295233107,-112.004628549,40.4599044577,"OK",72.37,49.43,3,163.83
"88",1128.15,1128.16,70,0,0,0,0,70,-111.796918933,40.5295233107,-111.869461932,40.5058173534,"OK",0,0,0,119.27
"89",1128.15,1130.14,50,0,0,0,0,50,-111.796918933,40.5295233107,-111.948468112,40.5308388373,"OK",46.52,35.43,1,146.28
"90",1128.15,1130.2,0,0,0,0,0,0,-111.796918933,40.5295233107,-111.99405361,40.5515488547,"OK",46.35,52.45,2,122.57
"91",1128.15,1128.15,120,0,0,35,295,450,-111.796918933,40.5295233107,-111.796918933,40.5295233107,"409",NA,NA,NA,NA
"92",1128.15,1128.04,50,0,0,0,0,50,-111.796918933,40.5295233107,-111.862777239,40.5515369657,"OK",0,0,0,105.08
"93",1128.15,1128.19,100,0,0,0,0,100,-111.796918933,40.5295233107,-111.880069626,40.5140635727,"OK",0,0,0,125.9
"94",1128.15,1130.13,0,0,0,0,0,0,-111.796918933,40.5295233107,-111.975436902,40.5295980976,"OK",54,52.45,2,120.8
"95",1128.15,1128.17,350,0,0,0,0,350,-111.796918933,40.5295233107,-111.905268914,40.5305236091,"OK",10.22,0.03,0,132.23
"96",1128.15,1130.17,0,0,0,0,0,0,-111.796918933,40.5295233107,-111.948248678,40.5113921689,"OK",64.07,49.43,3,110.38
"97",1128.15,1130.19,20,0,0,0,0,20,-111.796918933,40.5295233107,-111.969767252,40.549554591,"OK",51.22,52.45,2,127.62
"98",1128.15,1128.18,0,0,0,0,0,0,-111.796918933,40.5295233107,-111.901426578,40.4952724011,"OK",56.25,11.27,1,153.23
"99",1128.15,1130.12,110,0,0,0,0,110,-111.796918933,40.5295233107,-111.920766871,40.5589868638,"OK",16.82,19.47,1,132.17
"100",1128.15,1146,0,0,0,0,0,0,-111.796918933,40.5295233107,-111.927991851,40.5189579801,"OK",10.25,0.03,0,148.33
"101",1128.16,1131.07,160,0,0,0,0,160,-111.869461932,40.5058173534,-112.019569271,40.5162767243,"OK",74.82,37.45,2,47.05
"102",1128.16,1128.21,20,0,20,0,0,40,-111.869461932,40.5058173534,-111.841314748,40.4979086579,"OK",0,0,0,52.28
"103",1128.16,1128.1,80,0,0,0,0,80,-111.869461932,40.5058173534,-111.939987654,40.4779393131,"OK",0,0,0,124.42
"104",1128.16,1128.2,230,0,0,0,0,230,-111.869461932,40.5058173534,-111.879865905,40.4794072388,"OK",0,0,0,58.88
"105",1128.16,1128.19,200,0,0,0,0,200,-111.869461932,40.5058173534,-111.880069626,40.5140635727,"OK",0,0,0,24.35
"106",1128.16,1151.06,30,0,0,0,0,30,-111.869461932,40.5058173534,-112.004628549,40.4599044577,"OK",67.62,37.45,2,105.32
"107",1128.16,1128.04,40,0,0,0,0,40,-111.869461932,40.5058173534,-111.862777239,40.5515369657,"OK",15.12,0.03,0,30.07
"108",1128.16,1130.12,50,0,0,0,0,50,-111.869461932,40.5058173534,-111.920766871,40.5589868638,"OK",50.45,20.43,1,53.03
"109",1128.16,1130.2,100,0,0,0,0,100,-111.869461932,40.5058173534,-111.99405361,40.5515488547,"OK",44,18.02,1,71.15
"110",1128.16,1130.14,60,0,0,0,0,60,-111.869461932,40.5058173534,-111.948468112,40.5308388373,"OK",46.52,20.43,1,78.97
"111",1128.16,1130.11,140,0,0,0,0,140,-111.869461932,40.5058173534,-111.94344956,40.5508508861,"OK",49.07,20.43,1,58.78
"112",1128.16,1146,70,0,0,0,0,70,-111.869461932,40.5058173534,-111.927991851,40.5189579801,"OK",2.75,0.03,0,85.07
"113",1128.16,1130.13,30,0,0,0,0,30,-111.869461932,40.5058173534,-111.975436902,40.5295980976,"OK",54,52.45,2,53.48
"114",1128.16,1128.16,200,0,0,15,235,450,-111.869461932,40.5058173534,-111.869461932,40.5058173534,"409",NA,NA,NA,NA
"115",1128.16,1131.05,20,0,0,0,0,20,-111.869461932,40.5058173534,-112.117993088,40.525950728,"OK",49.88,28.45,2,224.38
"116",1128.16,1128.15,70,0,0,0,0,70,-111.869461932,40.5058173534,-111.796918933,40.5295233107,"OK",0,0,0,119.23
"117",1128.16,1128.22,60,0,0,0,0,60,-111.869461932,40.5058173534,-111.881538572,40.5515553247,"OK",3,0.03,0,51.53
"118",1128.16,1130.19,30,0,0,0,0,30,-111.869461932,40.5058173534,-111.969767252,40.549554591,"OK",51.22,37.45,2,60.3
"119",1128.16,1128.05,50,0,0,0,0,50,-111.869461932,40.5058173534,-111.861369104,40.5357819585,"OK",0,0,0,48.43
"120",1128.16,1128.23,40,0,20,0,0,60,-111.869461932,40.5058173534,-111.880345644,40.5350877531,"OK",2,0.03,0,49.68
"121",1128.16,1152.09,110,0,0,0,0,110,-111.869461932,40.5058173534,-112.034044038,40.5615932734,"OK",40,18.02,1,60.27
"122",1128.16,1130.17,110,0,0,0,0,110,-111.869461932,40.5058173534,-111.948248678,40.5113921689,"OK",59.32,37.45,2,51.87
"123",1128.16,1128.17,320,0,0,0,0,320,-111.869461932,40.5058173534,-111.905268914,40.5305236091,"OK",2.75,0.03,0,60.08
"124",1128.16,1128.18,0,0,0,0,0,0,-111.869461932,40.5058173534,-111.901426578,40.4952724011,"OK",0,0,0,90.98
"125",1128.16,1130.16,70,0,0,0,0,70,-111.869461932,40.5058173534,-111.975449825,40.5114696296,"OK",56,52.45,2,43.75
"126",1128.17,1128.04,320,0,0,0,0,320,-111.905268914,40.5305236091,-111.862777239,40.5515369657,"OK",10.4,0.03,0,31.68
"127",1128.17,1130.2,550,0,0,120,0,670,-111.905268914,40.5305236091,-111.99405361,40.5515488547,"OK",21.05,0.03,0,62.15
"128",1128.17,1130.12,550,0,0,0,0,550,-111.905268914,40.5305236091,-111.920766871,40.5589868638,"OK",5.25,0.03,0,48.63
"129",1128.17,1128.22,390,0,0,0,0,390,-111.905268914,40.5305236091,-111.881538572,40.5515553247,"OK",8,0.03,0,41.87
"130",1128.17,1146,250,0,0,0,0,250,-111.905268914,40.5305236091,-111.927991851,40.5189579801,"OK",0,0,0,40.23
"131",1128.17,1131.07,1680,80,0,0,0,1760,-111.905268914,40.5305236091,-112.019569271,40.5162767243,"OK",25.52,51.03,1,54.28
"132",1128.17,1128.16,320,0,0,0,0,320,-111.905268914,40.5305236091,-111.869461932,40.5058173534,"OK",2.95,0.03,0,61.98
"133",1128.17,1130.14,250,0,0,0,0,250,-111.905268914,40.5305236091,-111.948468112,40.5308388373,"OK",0,0,0,66.38
"134",1128.17,1128.18,0,0,0,0,0,0,-111.905268914,40.5305236091,-111.901426578,40.4952724011,"OK",0,0,0,83.38
"135",1128.17,1128.05,380,0,0,0,0,380,-111.905268914,40.5305236091,-111.861369104,40.5357819585,"OK",2.95,0.03,0,52.35
"136",1128.17,1130.19,318,10,0,0,0,328,-111.905268914,40.5305236091,-111.969767252,40.549554591,"OK",52.92,0.03,0,67.53
"137",1128.17,1131.05,420,0,0,0,0,420,-111.905268914,40.5305236091,-112.117993088,40.525950728,"OK",45.88,27.22,2,216.95
"138",1128.17,1128.23,450,0,0,0,0,450,-111.905268914,40.5305236091,-111.880345644,40.5350877531,"OK",0,0,0,48.7
"139",1128.17,1152.09,300,0,0,0,0,300,-111.905268914,40.5305236091,-112.034044038,40.5615932734,"OK",36,16.78,1,52.83
"140",1128.17,1128.21,550,0,0,0,0,550,-111.905268914,40.5305236091,-111.841314748,40.4979086579,"OK",3.5,0.03,0,90.67
"141",1128.17,1128.15,350,0,0,0,0,350,-111.905268914,40.5305236091,-111.796918933,40.5295233107,"OK",3.5,0.03,0,133.18
"142",1128.17,1128.1,390,0,0,0,0,390,-111.905268914,40.5305236091,-111.939987654,40.4779393131,"OK",1.97,0.03,0,101.2
"143",1128.17,1128.2,420,0,0,0,0,420,-111.905268914,40.5305236091,-111.879865905,40.4794072388,"OK",0,0,0,118.22
"144",1128.17,1130.16,170,0,0,0,0,170,-111.905268914,40.5305236091,-111.975449825,40.5114696296,"OK",6.07,0.03,0,48.52
"145",1128.17,1128.19,520,0,0,0,0,520,-111.905268914,40.5305236091,-111.880069626,40.5140635727,"OK",0,0,0,60.18
"146",1128.17,1130.17,260,0,0,0,0,260,-111.905268914,40.5305236091,-111.948248678,40.5113921689,"OK",1.02,0.03,0,59.1
"147",1128.17,1128.17,730,0,0,35,340,1105,-111.905268914,40.5305236091,-111.905268914,40.5305236091,"409",NA,NA,NA,NA
"148",1128.17,1151.06,310,0,0,0,0,310,-111.905268914,40.5305236091,-112.004628549,40.4599044577,"OK",18.32,51.03,1,112.55
"149",1128.17,1130.13,200,0,0,0,0,200,-111.905268914,40.5305236091,-111.975436902,40.5295980976,"OK",12.83,0.03,0,48.07
"150",1128.17,1130.11,420,0,0,0,0,420,-111.905268914,40.5305236091,-111.94344956,40.5508508861,"OK",3.87,0.03,0,54.38
"151",1128.18,1128.17,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.905268914,40.5305236091,"OK",0,0,0,83.38
"152",1128.18,1130.12,0,0,10,0,0,10,-111.901426578,40.4952724011,-111.920766871,40.5589868638,"OK",23.05,17.2,1,77.13
"153",1128.18,1130.19,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.969767252,40.549554591,"OK",49.97,38.22,2,78.65
"154",1128.18,1128.19,0,0,0,0,0,0,-111.901426578,40.4952724011,-111.880069626,40.5140635727,"OK",0,0,0,102.85
"155",1128.18,1128.1,20,0,0,0,0,20,-111.901426578,40.4952724011,-111.939987654,40.4779393131,"OK",0,0,0,99.73
